alpha,moves,T_initial,p_refine,final_hpwl,runtime_sec,improvement_pct
0.8,200,10.0,0.7,499520.0,59.78675603866577,5.865858093987152
0.85,200,10.0,0.7,492457.0,58.362650632858276,7.19687475854947
0.9,200,10.0,0.7,474961.0,137.50473046302795,10.49398187495642
0.95,200,10.0,0.7,440976.0,206.86701917648315,16.898427768365785
0.99,200,10.0,0.7,328070.0,953.6303465366364,38.17547258346886
0.9,100,10.0,0.7,503342.0,62.40166687965393,5.145605270547087
0.9,400,10.0,0.7,443805.0,198.90189933776855,16.36530499559971
0.9,200,10.0,0.5,471210.0,137.79267930984497,11.200854805548698
0.9,200,10.0,0.9,467445.0,95.72454118728638,11.910366024871525
